id,x,y,r,g,b
1,-23.5,13.5,158,173,206
2,-22.5,13.5,147,133,99
3,-21.5,13.5,236,199,24
4,-20.5,13.5,247,200,28
5,-19.5,13.5,250,203,17
6,-18.5,13.5,250,203,17
7,-17.5,13.5,250,203,17
8,-16.5,13.5,251,203,17
9,-15.5,13.5,254,201,17
10,-14.5,13.5,254,201,17
11,-13.5,13.5,254,201,17
12,-12.5,13.5,254,201,17
13,-11.5,13.5,251,203,17
14,-10.5,13.5,250,203,17
15,-9.5,13.5,250,203,17
16,-8.5,13.5,250,203,17
17,-7.5,13.5,251,202,19
18,-6.5,13.5,251,200,32
19,-5.5,13.5,245,204,24
20,-4.5,13.5,240,203,19
21,-3.5,13.5,247,200,27
22,-2.5,13.5,250,203,28
23,-1.5,13.5,245,204,25
24,-0.5,13.5,237,201,18
25,0.5,13.5,240,198,19
26,1.5,13.5,250,201,23
27,2.5,13.5,254,201,17
28,3.5,13.5,254,201,17
29,4.5,13.5,254,201,17
30,5.5,13.5,254,201,17
31,6.5,13.5,250,203,17
32,7.5,13.5,250,203,17
33,8.5,13.5,250,203,17
34,9.5,13.5,250,203,17
35,10.5,13.5,250,203,17
36,11.5,13.5,250,203,17
37,12.5,13.5,250,203,17
38,13.5,13.5,250,203,17
39,14.5,13.5,250,203,17
40,15.5,13.5,250,203,17
41,16.5,13.5,250,203,17
42,17.5,13.5,250,203,17
43,18.5,13.5,250,203,17
44,19.5,13.5,248,206,10
45,20.5,13.5,238,213,6
46,21.5,13.5,235,214,8
47,22.5,13.5,172,151,91
48,23.5,13.5,120,148,155
49,-22.5,12.5,247,200,41
50,-21.5,12.5,254,206,17
51,-20.5,12.5,250,209,0
52,-19.5,12.5,255,204,0
53,-18.5,12.5,255,204,0
54,-17.5,12.5,255,204,0
55,-16.5,12.5,255,204,0
56,-15.5,12.5,254,205,0
57,-14.5,12.5,254,205,0
58,-13.5,12.5,254,205,0
59,-12.5,12.5,254,205,0
60,-11.5,12.5,254,205,0
61,-10.5,12.5,255,204,0
62,-9.5,12.5,255,203,0
63,-8.5,12.5,255,204,0
64,-7.5,12.5,255,204,1
65,-6.5,12.5,255,200,20
66,-5.5,12.5,253,199,24
67,-4.5,12.5,254,196,46
68,-3.5,12.5,227,130,21
69,-2.5,12.5,201,62,1
70,-1.5,12.5,215,32,20
71,-0.5,12.5,234,23,45
72,0.5,12.5,218,40,20
